,experiment,hour,date,device_make,platform_os,aware
1180,exposed,13,2020-07-05,Samsung SM-G965F,6,True
1190,control,16,2020-07-10,Generic Smartphone,6,True
1226,exposed,13,2020-07-09,Nokia$2$3,6,True
1235,exposed,5,2020-07-09,Generic Smartphone,6,True
1252,exposed,6,2020-07-04,Generic Smartphone,6,True
1255,control,15,2020-07-03,Samsung SM-G930F,6,True
1260,exposed,22,2020-07-09,Generic Smartphone,6,True
1285,control,15,2020-07-03,Generic Smartphone,6,True
1286,control,15,2020-07-03,Generic Smartphone,6,True
1319,control,20,2020-07-07,Generic Smartphone,6,True
1373,exposed,18,2020-07-08,Samsung SM-G920F,6,True
1408,control,6,2020-07-09,Generic Smartphone,6,True
1418,control,22,2020-07-09,Generic Smartphone,6,True
1433,exposed,11,2020-07-10,Samsung $2,6,True
1437,exposed,20,2020-07-08,Generic Smartphone,6,True
1497,control,9,2020-07-10,Generic Smartphone,6,True
1498,control,8,2020-07-06,Generic Smartphone,6,True
1516,exposed,7,2020-07-09,Samsung SM-G986B,6,True
1519,exposed,3,2020-07-09,Generic Smartphone,6,True
1521,control,15,2020-07-03,Samsung SM-G935F,6,True
1522,exposed,10,2020-07-03,Generic Smartphone,6,True
1529,exposed,14,2020-07-04,Generic Smartphone,6,True
1578,exposed,8,2020-07-06,Generic Smartphone,6,True
1580,exposed,17,2020-07-08,LG-$2,6,True
1591,control,15,2020-07-03,Samsung SM-A705FN,6,True
1595,control,15,2020-07-03,Pixel 3,6,True
1616,exposed,8,2020-07-05,Samsung SM-J730F,6,True
1637,exposed,15,2020-07-08,Generic Smartphone,6,True
1641,exposed,9,2020-07-09,Generic Smartphone,6,True
1664,exposed,14,2020-07-09,Generic Smartphone,6,True
1685,control,2,2020-07-04,Generic Smartphone,6,True
1727,exposed,19,2020-07-08,Samsung SM-G960F,6,True
1750,control,15,2020-07-03,Generic Smartphone,6,True
1763,control,6,2020-07-10,Generic Smartphone,6,True
1766,exposed,15,2020-07-05,Samsung SM-G950F,6,True
1768,exposed,19,2020-07-04,Generic Smartphone,6,True
1782,exposed,9,2020-07-03,Generic Smartphone,6,True
1845,control,15,2020-07-03,Samsung SM-A715F,6,True
1846,control,0,2020-07-10,Nokia undefined$2$3,6,True
1872,exposed,6,2020-07-10,ELE-L09,6,True
1884,exposed,3,2020-07-06,Samsung SM-G970F,6,True
1907,exposed,10,2020-07-09,Generic Smartphone,6,True
1943,control,15,2020-07-03,POT-LX1,6,True
1972,control,10,2020-07-05,Generic Smartphone,6,True
1977,exposed,8,2020-07-10,Samsung SM-G975F,6,True
1978,control,15,2020-07-03,Generic Smartphone,6,True
1979,control,15,2020-07-03,Samsung SM-G950F,6,True
1990,control,20,2020-07-04,Samsung SM-G970F,6,True
2004,exposed,14,2020-07-04,Generic Smartphone,6,True
2022,exposed,6,2020-07-09,Samsung SM-G960F,6,True
2046,exposed,21,2020-07-09,YAL-L21,6,True
2051,exposed,13,2020-07-08,Generic Smartphone,6,True
2054,control,8,2020-07-04,Generic Smartphone,6,True
2087,exposed,6,2020-07-09,Generic Smartphone,6,True
2115,control,11,2020-07-09,Generic Smartphone,6,True
2116,control,15,2020-07-03,Generic Smartphone,6,True
2123,exposed,18,2020-07-09,Samsung SM-G960F,6,True
2125,exposed,10,2020-07-04,Generic Smartphone,6,True
2187,control,12,2020-07-10,ANE-LX1,6,True
2197,control,8,2020-07-07,Samsung SM-G955F,6,True
2238,control,6,2020-07-10,Samsung SM-G973F,6,True
2256,control,10,2020-07-07,Generic Smartphone,6,True
2270,control,21,2020-07-08,LG-$2,6,True
2306,control,2,2020-07-10,Generic Smartphone,6,True
2346,exposed,10,2020-07-03,Samsung SM-J600FN,6,True
2357,control,15,2020-07-03,Generic Smartphone,6,True
2386,control,15,2020-07-03,ANE-LX1,6,True
2409,control,4,2020-07-10,Generic Smartphone,6,True
2421,control,15,2020-07-03,Samsung SM-G988B,6,True
2428,control,21,2020-07-08,Samsung SM-A405FN,6,True
2440,control,15,2020-07-03,Samsung SM-A405FN,6,True
2457,control,15,2020-07-03,Generic Smartphone,6,True
2465,exposed,0,2020-07-05,Generic Smartphone,6,True
2485,exposed,16,2020-07-08,Generic Smartphone,6,True
2531,exposed,12,2020-07-05,Huawei Browser,6,True
2537,control,8,2020-07-10,Samsung SM-A705FN,6,True
2558,exposed,7,2020-07-03,Generic Smartphone,6,True
2585,exposed,6,2020-07-03,Samsung SM-A705FN,6,True
2589,control,22,2020-07-08,Generic Smartphone,6,True
2592,control,17,2020-07-07,Generic Smartphone,6,True
2598,exposed,1,2020-07-03,Generic Smartphone,6,True
2614,exposed,17,2020-07-08,Generic Smartphone,6,True
2625,control,16,2020-07-10,Samsung SM-A320FL,6,True
2647,control,8,2020-07-08,Samsung SM-G973F,6,True
2674,exposed,19,2020-07-07,Samsung SM-G960F,6,True
2681,exposed,16,2020-07-09,Samsung SM-G980F,6,True
2722,control,15,2020-07-03,Generic Smartphone,6,True
2731,exposed,9,2020-07-05,Nokia$2$3,6,True
2734,exposed,6,2020-07-06,Generic Smartphone,6,True
2744,exposed,10,2020-07-06,Generic Smartphone,6,True
2745,exposed,6,2020-07-06,Generic Smartphone,6,True
2766,exposed,5,2020-07-03,Generic Smartphone,6,True
2779,control,15,2020-07-03,Samsung SM-G970F,6,True
2789,exposed,13,2020-07-05,Generic Smartphone,6,True
2822,exposed,11,2020-07-05,Generic Smartphone,6,True
2831,exposed,23,2020-07-04,Generic Smartphone,6,True
2847,control,1,2020-07-09,Generic Smartphone,6,True
2854,control,15,2020-07-03,Samsung SM-A320FL,6,True
2856,control,15,2020-07-03,Generic Smartphone,6,True
2904,exposed,14,2020-07-08,Generic Smartphone,6,True
2915,control,11,2020-07-05,Generic Smartphone,6,True
2918,control,15,2020-07-03,Generic Smartphone,6,True
2921,exposed,7,2020-07-09,Generic Smartphone,6,True
2925,exposed,21,2020-07-08,LG-$2,6,True
2947,exposed,15,2020-07-08,Generic Smartphone,6,True
2951,control,15,2020-07-03,Generic Smartphone,6,True
2958,exposed,9,2020-07-07,Generic Smartphone,6,True
2961,exposed,22,2020-07-07,Generic Smartphone,6,True
2976,control,15,2020-07-03,Samsung SM-G973F,6,True
2981,control,16,2020-07-08,Samsung SM-A405FN,6,True
2998,control,15,2020-07-03,Generic Smartphone,6,True
3005,exposed,10,2020-07-03,Generic Smartphone,6,True
3015,exposed,4,2020-07-10,Samsung SM-G930F,6,True
3036,control,15,2020-07-03,Samsung SM-G930F,6,True
3037,exposed,8,2020-07-03,Generic Smartphone,6,True
3067,exposed,6,2020-07-04,Generic Smartphone,6,True
3099,exposed,10,2020-07-04,Generic Smartphone,6,True
3113,exposed,9,2020-07-04,Generic Smartphone,6,True
3139,control,11,2020-07-04,Samsung SM-G950F,6,True
3140,exposed,12,2020-07-09,Generic Smartphone,6,True
3149,control,8,2020-07-07,Generic Smartphone,6,True
3193,control,10,2020-07-09,Samsung SM-G960F,6,True
3213,control,15,2020-07-03,Generic Smartphone,6,True
3216,exposed,8,2020-07-03,Generic Smartphone,6,True
3240,control,3,2020-07-04,iPhone,5,True
3246,control,15,2020-07-03,Samsung $2,6,True
3260,exposed,10,2020-07-05,Samsung SM-G973F,6,True
3271,control,14,2020-07-04,Samsung SM-A600FN,6,True
3275,control,12,2020-07-09,Generic Smartphone,6,True
3289,control,15,2020-07-03,Generic Smartphone,6,True
3290,control,15,2020-07-03,MRD-LX1,6,True
3337,exposed,9,2020-07-05,Samsung SM-J530F,6,True
3369,exposed,18,2020-07-08,Generic Smartphone,6,True
3383,exposed,10,2020-07-06,Samsung SM-N950F,6,True
3404,exposed,20,2020-07-08,VFD 700,6,True
3426,control,8,2020-07-04,Samsung SM-G960F,6,True
3433,control,15,2020-07-03,Samsung SM-A310F,6,True
3437,control,15,2020-07-04,Samsung SM-G973F,6,True
3444,control,15,2020-07-03,Samsung SM-G973F,6,True
3449,exposed,4,2020-07-06,Generic Smartphone,6,True
3473,exposed,5,2020-07-05,Samsung SM-G950F,6,True
3478,exposed,11,2020-07-04,Nokia undefined$2$3,6,True
3487,control,21,2020-07-04,Generic Smartphone,6,True
3492,exposed,5,2020-07-08,Generic Smartphone,6,True
3496,control,15,2020-07-03,Generic Smartphone,6,True
3499,control,18,2020-07-05,Samsung SM-G960F,6,True
3516,control,11,2020-07-04,Generic Smartphone,6,True
3528,control,9,2020-07-07,Generic Smartphone,6,True
3537,control,15,2020-07-03,Generic Smartphone,6,True
3543,control,4,2020-07-10,Generic Smartphone,6,True
3546,control,18,2020-07-09,Samsung SM-G970F,6,True
3574,control,4,2020-07-05,Samsung SM-G975F,6,True
3577,control,15,2020-07-03,Samsung SM-G930F,6,True
3581,control,15,2020-07-03,Generic Smartphone,6,True
3590,exposed,4,2020-07-06,Generic Smartphone,6,True
3596,control,0,2020-07-04,XiaoMi MI 8 Pro,6,True
3645,control,6,2020-07-06,Samsung SM-G981B,6,True
3666,exposed,6,2020-07-04,ELE-L09,6,True
3697,control,17,2020-07-10,ELE-L29,6,True
3722,exposed,4,2020-07-10,Generic Smartphone,6,True
3730,exposed,13,2020-07-03,Generic Smartphone,6,True
3742,exposed,17,2020-07-09,Samsung SM-A507FN,6,True
3747,control,15,2020-07-03,Generic Smartphone,6,True
3761,exposed,7,2020-07-09,Generic Smartphone,6,True
3770,control,14,2020-07-05,MAR-LX1A,6,True
3796,control,22,2020-07-09,Generic Smartphone,6,True
3818,control,8,2020-07-06,Samsung SM-A202F,6,True
3825,control,15,2020-07-03,Generic Smartphone,6,True
3843,exposed,3,2020-07-05,iPhone,5,True
3845,control,8,2020-07-10,Samsung SM-G973F,6,True
3850,control,10,2020-07-06,Generic Smartphone,6,True
3852,exposed,3,2020-07-04,Nokia undefined$2$3,6,True
3877,exposed,22,2020-07-07,Generic Smartphone,6,True
3880,exposed,7,2020-07-03,Generic Smartphone,6,True
3885,exposed,7,2020-07-05,Samsung SM-G975F,6,True
3900,exposed,0,2020-07-03,Generic Smartphone,6,True
3903,exposed,17,2020-07-09,Generic Smartphone,6,True
3920,exposed,3,2020-07-03,Samsung SM-G975F,6,True
3961,exposed,13,2020-07-03,Samsung SM-A750FN,6,True
3962,control,5,2020-07-04,Generic Smartphone,6,True
3996,exposed,12,2020-07-08,Generic Smartphone,6,True
4005,control,17,2020-07-09,Generic Smartphone,6,True
4016,control,17,2020-07-08,Generic Smartphone,6,True
4068,control,15,2020-07-08,Generic Smartphone,6,True
4070,exposed,9,2020-07-07,Generic Smartphone,6,True
4109,control,15,2020-07-10,Samsung SM-A105FN,6,True
4115,control,15,2020-07-05,Generic Smartphone,6,True
4145,exposed,10,2020-07-04,Samsung SM-G965F,6,True
4156,control,19,2020-07-08,Generic Smartphone,6,True
4157,control,15,2020-07-03,Generic Smartphone,6,True
4164,exposed,6,2020-07-05,Generic Smartphone,6,True
4168,control,18,2020-07-08,Samsung SM-A202F,6,True
4172,exposed,2,2020-07-06,Generic Smartphone,6,True
4207,exposed,14,2020-07-10,Generic Smartphone,6,True
4229,exposed,8,2020-07-03,Samsung SM-G920F,6,True
4241,exposed,16,2020-07-08,Generic Smartphone,6,True
4277,control,6,2020-07-04,Samsung SM-G960F,6,True
4296,control,20,2020-07-09,Generic Smartphone,6,True
4303,exposed,7,2020-07-10,HTC Desire $2,6,True
4308,control,16,2020-07-08,Samsung SM-G930F,6,True
4309,control,15,2020-07-03,Generic Smartphone,6,True
4338,exposed,16,2020-07-05,Generic Smartphone,6,True
4340,exposed,15,2020-07-10,Generic Smartphone,6,True
4344,exposed,10,2020-07-06,I3312,6,True
4353,exposed,9,2020-07-03,A0001,6,True
4361,exposed,18,2020-07-09,Samsung SM-J330FN,6,True
4401,control,7,2020-07-05,Generic Smartphone,6,True
4415,exposed,10,2020-07-04,LG-$2,6,True
4449,exposed,20,2020-07-08,Generic Smartphone,6,True
4462,exposed,22,2020-07-08,Generic Smartphone,6,True
4483,control,21,2020-07-09,Generic Smartphone,6,True
4490,exposed,15,2020-07-08,MRD-LX1,6,True
4494,control,15,2020-07-03,Samsung SM-A505FN,6,True
4498,exposed,5,2020-07-03,Generic Smartphone,6,True
4532,exposed,15,2020-07-09,Generic Smartphone,6,True
4545,exposed,15,2020-07-10,Generic Smartphone,6,True
4581,exposed,5,2020-07-08,Generic Smartphone,6,True
4582,exposed,14,2020-07-08,Generic Smartphone,6,True
4594,exposed,9,2020-07-03,Samsung SM-A202F,6,True
4598,control,15,2020-07-03,Generic Smartphone,6,True
4608,control,15,2020-07-03,Generic Smartphone,6,True
4609,exposed,14,2020-07-07,Generic Smartphone,6,True
4658,exposed,12,2020-07-07,Generic Smartphone,6,True
4673,control,4,2020-07-09,Generic Smartphone,6,True
4701,exposed,0,2020-07-10,Generic Smartphone,6,True
4726,control,14,2020-07-09,Generic Smartphone,6,True
4727,control,15,2020-07-10,Samsung SM-G960F,6,True
4729,control,12,2020-07-09,Samsung SM-G950F,6,True
4732,control,7,2020-07-05,Samsung SM-G977B,6,True
4783,exposed,21,2020-07-07,Samsung SM-A105FN,6,True
4802,exposed,11,2020-07-04,Samsung SM-G950F,6,True
4811,control,22,2020-07-04,LG-$2,6,True
4814,control,1,2020-07-09,Samsung SM-J415FN,6,True
4830,exposed,14,2020-07-04,Samsung SM-J610FN,6,True
4834,exposed,18,2020-07-08,Nokia undefined$2$3,6,True
4841,exposed,20,2020-07-07,Generic Smartphone,6,True
4848,exposed,19,2020-07-04,Generic Smartphone,6,True
4858,control,17,2020-07-04,Generic Smartphone,6,True
4863,control,8,2020-07-10,Samsung SM-G930F,6,True
4878,control,15,2020-07-03,Generic Smartphone,6,True
4893,control,15,2020-07-03,Generic Smartphone,6,True
4898,control,1,2020-07-09,IMO $2,6,True
4912,exposed,17,2020-07-08,Samsung SM-G900F,6,True
4954,exposed,18,2020-07-08,Generic Smartphone,6,True
4958,exposed,20,2020-07-08,Generic Smartphone,6,True
4975,control,4,2020-07-06,Generic Smartphone,6,True
4985,control,21,2020-07-05,Generic Smartphone,6,True
5010,control,15,2020-07-03,Generic Smartphone,6,True
5014,exposed,14,2020-07-04,Samsung SM-G965F,6,True
5018,control,6,2020-07-07,Generic Smartphone,6,True
5037,exposed,19,2020-07-08,Samsung SM-G960F,6,True
5041,control,15,2020-07-03,Generic Smartphone,6,True
5063,exposed,11,2020-07-04,Generic Smartphone,6,True
5069,exposed,23,2020-07-09,Generic Smartphone,6,True
5078,exposed,14,2020-07-05,Generic Smartphone,6,True
5099,control,11,2020-07-04,Samsung SM-A530F,6,True
5118,exposed,6,2020-07-06,Generic Smartphone,6,True
5134,exposed,18,2020-07-08,Samsung SM-G950F,6,True
5138,control,15,2020-07-03,Generic Smartphone,6,True
5140,exposed,5,2020-07-03,XiaoMi MI MAX 3,6,True
5143,exposed,18,2020-07-08,Samsung SM-G950F,6,True
5148,control,9,2020-07-10,Generic Smartphone,6,True
5150,exposed,7,2020-07-09,Samsung SM-G960F,6,True
5152,exposed,19,2020-07-08,Generic Smartphone,6,True
5158,control,7,2020-07-06,Nokia$2$3,6,True
5170,exposed,3,2020-07-10,Generic Smartphone,6,True
5176,control,15,2020-07-03,Generic Smartphone,6,True
5182,exposed,19,2020-07-07,Generic Smartphone,6,True
5193,exposed,5,2020-07-04,Generic Smartphone,6,True
5221,control,15,2020-07-10,Samsung $2,6,True
5248,control,5,2020-07-09,Samsung SM-G960F,6,True
5256,control,8,2020-07-04,Generic Smartphone,6,True
5258,exposed,13,2020-07-04,F3311,6,True
5268,control,15,2020-07-03,Samsung SM-G960F,6,True
5272,control,15,2020-07-03,Generic Smartphone,6,True
5274,exposed,4,2020-07-08,Generic Smartphone,6,True
5278,control,9,2020-07-09,iPhone,5,True
5314,exposed,11,2020-07-03,Generic Smartphone,6,True
5324,exposed,4,2020-07-10,Generic Smartphone,6,True
5334,exposed,17,2020-07-09,Samsung SM-G965F,6,True
5340,control,5,2020-07-10,Pixel 3,6,True
5360,exposed,22,2020-07-09,Samsung SM-A600FN,6,True
5363,control,5,2020-07-05,Generic Smartphone,6,True
5365,exposed,14,2020-07-05,Generic Smartphone,6,True
5373,exposed,0,2020-07-10,Samsung SM-G975F,6,True
5393,exposed,16,2020-07-08,Generic Smartphone,6,True
5403,exposed,21,2020-07-08,Samsung SM-G950F,6,True
5407,exposed,15,2020-07-08,Generic Smartphone,6,True
5418,control,9,2020-07-09,Samsung SM-A105FN,6,True
5421,control,19,2020-07-08,Samsung SM-A105FN,6,True
5456,control,15,2020-07-03,Generic Smartphone,6,True
5484,exposed,11,2020-07-09,Generic Smartphone,6,True
5491,control,21,2020-07-07,Generic Smartphone,6,True
5492,control,12,2020-07-10,LG-$2,6,True
5519,control,16,2020-07-05,Samsung SM-G955F,6,True
5522,exposed,16,2020-07-08,Generic Smartphone,6,True
5531,control,15,2020-07-03,Samsung SM-A405FN,6,True
5533,exposed,7,2020-07-08,Generic Smartphone,6,True
5544,exposed,6,2020-07-07,Generic Smartphone,6,True
5547,exposed,5,2020-07-05,Generic Smartphone,6,True
5561,exposed,7,2020-07-04,OnePlus ONEPLUS A5010,6,True
5588,exposed,2,2020-07-03,Generic Smartphone,6,True
5608,control,11,2020-07-09,Samsung SM-A202F,6,True
5614,exposed,15,2020-07-08,Generic Smartphone,6,True
5624,exposed,13,2020-07-04,Generic Smartphone,6,True
5639,exposed,2,2020-07-03,Generic Smartphone,6,True
5642,exposed,20,2020-07-08,Generic Smartphone,6,True
5648,control,15,2020-07-03,Generic Smartphone,6,True
5658,exposed,3,2020-07-09,Generic Smartphone,6,True
5662,exposed,7,2020-07-03,TA-1033,6,True
5665,control,0,2020-07-06,Pixel 3,6,True
5670,exposed,20,2020-07-08,Generic Smartphone,6,True
5684,control,15,2020-07-03,Samsung SM-A105FN,6,True
5725,exposed,13,2020-07-03,Generic Smartphone,6,True
5738,exposed,12,2020-07-05,Samsung SM-G960F,6,True
5740,exposed,6,2020-07-10,Generic Smartphone,6,True
5750,exposed,13,2020-07-09,Pixel 3a,6,True
5771,exposed,18,2020-07-05,Generic Smartphone,6,True
5809,exposed,14,2020-07-08,Samsung SM-G960F,6,True
5821,control,13,2020-07-08,Generic Smartphone,6,True
5830,exposed,1,2020-07-07,Samsung SM-N976B,6,True
5844,control,11,2020-07-04,LG-$2,6,True
5854,exposed,2,2020-07-10,Generic Smartphone,6,True
5869,control,13,2020-07-07,Generic Smartphone,6,True
5872,control,0,2020-07-09,Samsung SM-A505FN,6,True
5897,exposed,6,2020-07-03,Generic Smartphone,6,True
5933,control,3,2020-07-05,Generic Smartphone,6,True
5938,exposed,0,2020-07-10,Samsung SM-A202F,6,True
5939,exposed,16,2020-07-08,Generic Smartphone,6,True
5944,exposed,8,2020-07-09,Generic Smartphone,6,True
5966,control,15,2020-07-03,Generic Smartphone,6,True
5983,exposed,15,2020-07-05,Generic Smartphone,6,True
5988,exposed,9,2020-07-06,Generic Smartphone,6,True
5995,exposed,17,2020-07-04,Samsung SM-G975F,6,True
6000,control,15,2020-07-03,Generic Smartphone,6,True
6007,exposed,19,2020-07-08,Generic Smartphone,6,True
6009,control,20,2020-07-04,Generic Smartphone,6,True
6042,exposed,4,2020-07-06,Generic Smartphone,6,True
6049,exposed,6,2020-07-04,Samsung SM-G965F,6,True
6053,control,9,2020-07-09,Samsung SM-A202F,6,True
6056,exposed,10,2020-07-07,Generic Smartphone,6,True
6057,control,11,2020-07-04,Generic Smartphone,6,True
6058,exposed,20,2020-07-09,Generic Smartphone,6,True
6070,exposed,12,2020-07-03,OnePlus ONEPLUS A6013,6,True
6072,exposed,2,2020-07-04,ANE-LX1,6,True
6075,exposed,20,2020-07-08,Generic Smartphone,6,True
6077,exposed,10,2020-07-03,Samsung SM-G970F,6,True
6093,exposed,8,2020-07-03,Samsung SM-G770F,6,True
6116,exposed,7,2020-07-04,Generic Smartphone,6,True
6135,control,15,2020-07-03,Samsung SM-A705FN,6,True
6138,control,19,2020-07-07,Generic Smartphone,6,True
6186,exposed,9,2020-07-09,Generic Smartphone,6,True
6209,exposed,8,2020-07-04,Samsung SM-J530F,6,True
6224,control,15,2020-07-03,Generic Smartphone,6,True
6231,control,16,2020-07-08,Generic Smartphone,6,True
6241,control,5,2020-07-09,Samsung SM-G960F,6,True
6250,exposed,13,2020-07-07,Generic Smartphone,6,True
6269,exposed,9,2020-07-10,Generic Smartphone,6,True
6289,exposed,20,2020-07-08,Samsung SM-J320FN,6,True
6297,control,10,2020-07-07,Samsung SM-G930F,6,True
6307,exposed,12,2020-07-05,Generic Smartphone,6,True
6344,exposed,7,2020-07-03,Generic Smartphone,6,True
6354,control,10,2020-07-06,Generic Smartphone,6,True
6404,control,21,2020-07-08,Generic Smartphone,6,True
6413,control,19,2020-07-09,Samsung SM-G960F,6,True
6416,exposed,9,2020-07-07,Generic Smartphone,6,True
6418,exposed,21,2020-07-09,Samsung SM-G960F,6,True
6419,control,1,2020-07-10,POT-LX1,6,True
6431,exposed,16,2020-07-08,Samsung SM-G965F,6,True
6439,exposed,6,2020-07-06,Generic Smartphone,6,True
6497,exposed,13,2020-07-03,Generic Smartphone,6,True
6530,control,15,2020-07-03,Samsung SM-G930F,6,True
6549,control,20,2020-07-08,Generic Smartphone,6,True
6550,control,23,2020-07-08,VOG-L29,6,True
6591,exposed,20,2020-07-04,Generic Smartphone,6,True
6654,control,9,2020-07-05,Generic Smartphone,6,True
6658,exposed,0,2020-07-09,HTC One $2,6,True
6669,exposed,7,2020-07-06,Samsung SM-G950F,6,True
6671,exposed,0,2020-07-09,Samsung SM-A310F,6,True
6677,control,12,2020-07-09,Generic Smartphone,6,True
6682,control,15,2020-07-03,Samsung SM-A530F,6,True
6696,exposed,6,2020-07-05,Generic Smartphone,6,True
6700,exposed,18,2020-07-09,Generic Smartphone,6,True
6711,exposed,0,2020-07-03,Generic Smartphone,6,True
6743,exposed,20,2020-07-09,Generic Smartphone,6,True
6749,exposed,20,2020-07-08,Samsung SM-A505FN,6,True
6752,control,16,2020-07-05,Generic Smartphone,6,True
6761,control,9,2020-07-04,Generic Smartphone,6,True
6773,control,9,2020-07-07,Generic Smartphone,6,True
6824,control,15,2020-07-03,Generic Smartphone,6,True
6833,exposed,14,2020-07-03,Generic Smartphone,6,True
6836,exposed,4,2020-07-06,Samsung SM-G920F,6,True
6851,exposed,13,2020-07-03,OnePlus ONEPLUS A3000,6,True
6863,exposed,7,2020-07-04,FIG-LX1,6,True
6881,exposed,18,2020-07-05,Samsung SM-J530F,6,True
6906,control,15,2020-07-03,Generic Smartphone,6,True
6907,exposed,21,2020-07-07,Pixel 3,6,True
6919,exposed,1,2020-07-03,Samsung SM-A530F,6,True
6923,exposed,3,2020-07-06,Generic Smartphone,6,True
6926,exposed,14,2020-07-05,Samsung SM-A202F,6,True
6927,control,15,2020-07-03,Samsung SM-G935F,6,True
6942,control,16,2020-07-09,Generic Smartphone,6,True
6946,exposed,7,2020-07-07,Generic Smartphone,6,True
6961,exposed,13,2020-07-07,Samsung SM-A600FN,6,True
6974,exposed,18,2020-07-08,Generic Smartphone,6,True
6984,exposed,8,2020-07-03,Generic Smartphone,6,True
6987,control,10,2020-07-08,Generic Smartphone,6,True
7005,exposed,20,2020-07-04,Generic Smartphone,6,True
7025,exposed,9,2020-07-06,Generic Smartphone,6,True
7033,control,11,2020-07-04,Generic Smartphone,6,True
