,auction_id,experiment,date,hour,device_make,platform_os,browser,yes,no
3796,7a5d4370-6c7b-4d20-a274-b29c0c9f001d,control,2020-07-09,22,Generic Smartphone,6,Chrome Mobile WebView,1,0
798,19ba2632-0167-4f74-b111-3093781d2aa3,exposed,2020-07-10,15,Samsung SM-G900F,6,Chrome Mobile WebView,1,0
3961,7f2d94ee-ff1d-4c9c-b0e1-4844186e7b7b,exposed,2020-07-03,13,Samsung SM-A750FN,6,Chrome Mobile WebView,1,0
3845,7c14f50e-f7c5-4eb5-81ec-64e3e7f07a79,control,2020-07-10,8,Samsung SM-G973F,6,Chrome Mobile WebView,1,0
4802,991c90cb-482f-4a50-9a5a-8eb6e853e9b3,exposed,2020-07-04,11,Samsung SM-G950F,6,Chrome Mobile WebView,1,0
4532,9061fdc8-1533-4fe9-93e3-21c3658c7bfb,exposed,2020-07-09,15,Generic Smartphone,6,Chrome Mobile WebView,1,0
4308,89d1a2b1-08c8-400e-80ae-ac0537466ff2,control,2020-07-08,16,Samsung SM-G930F,6,Chrome Mobile WebView,1,0
4344,8aca8139-c391-4b39-b59c-17935644ea8f,exposed,2020-07-06,10,I3312,6,Chrome Mobile WebView,1,0
4353,8b2452c1-0369-4a53-bb54-89aa3cea995e,exposed,2020-07-03,9,A0001,6,Chrome Mobile WebView,1,0
4229,879959a8-33d9-4b17-aab5-cf5bdfb3dcde,exposed,2020-07-03,8,Samsung SM-G920F,6,Chrome Mobile WebView,1,0
4594,92705646-0c13-499c-9bde-b5ad2e1293fd,exposed,2020-07-03,9,Samsung SM-A202F,6,Chrome Mobile WebView,1,0
4701,95d3a4df-6c4b-46d7-a597-3a46a1bab21a,exposed,2020-07-10,0,Generic Smartphone,6,Chrome Mobile WebView,1,0
7522,ee3dcce0-aa18-4363-8c62-58e6047cdfcf,exposed,2020-07-10,4,Samsung SM-N960F,6,Chrome Mobile WebView,1,0
5037,a05e9add-bb58-4aae-a3d0-bcdeb71ea826,exposed,2020-07-08,19,Samsung SM-G960F,6,Chrome Mobile WebView,1,0
4863,9b0b9843-4898-4d85-a3ad-9d4004cb4bcc,control,2020-07-10,8,Samsung SM-G930F,6,Chrome Mobile WebView,1,0
4912,9c31388f-843a-497f-a45d-4918c4a20dc9,exposed,2020-07-08,17,Samsung SM-G900F,6,Chrome Mobile WebView,1,0
5014,9f83924e-4cd3-4fa4-bd2b-d2487cf165f7,exposed,2020-07-04,14,Samsung SM-G965F,6,Chrome Mobile WebView,1,0
5134,a34ae261-b70c-496b-95cc-29ee373d5504,exposed,2020-07-08,18,Samsung SM-G950F,6,Chrome Mobile WebView,1,0
5140,a3942624-335c-4567-9f98-78ccbb5791d0,exposed,2020-07-03,5,XiaoMi MI MAX 3,6,Chrome Mobile WebView,1,0
5143,a3af7c56-caf7-4ee0-bdfd-d5514dd03fbb,exposed,2020-07-08,18,Samsung SM-G950F,6,Chrome Mobile WebView,1,0
5150,a3f3e37c-6eae-4917-b5b0-e13479fe7773,exposed,2020-07-09,7,Samsung SM-G960F,6,Chrome Mobile WebView,1,0
5662,b2daef31-9b6c-4577-a426-233da40fa8d8,exposed,2020-07-03,7,TA-1033,6,Chrome Mobile WebView,1,0
5158,a41d7241-755a-4fa2-bd56-bee69e6580c1,control,2020-07-06,7,Nokia$2$3,6,Chrome Mobile WebView,1,0
5334,a8d13798-4340-4648-bc23-faf9db50d255,exposed,2020-07-09,17,Samsung SM-G965F,6,Chrome Mobile WebView,1,0
5360,a98ffc07-6388-48ec-b8dd-1d9f77fd07d3,exposed,2020-07-09,22,Samsung SM-A600FN,6,Chrome Mobile WebView,1,0
5403,aace9395-b69f-45c7-9d4e-16fbc8bfba07,exposed,2020-07-08,21,Samsung SM-G950F,6,Chrome Mobile WebView,1,0
5248,a6a085ba-5f80-4a79-8bc5-1ea4518646d4,control,2020-07-09,5,Samsung SM-G960F,6,Chrome Mobile WebView,1,0
5258,a6d7e9ac-1bf2-4ae3-b7c5-92b26ab22c27,exposed,2020-07-04,13,F3311,6,Chrome Mobile WebView,1,0
5544,af93dc3a-75b2-4b54-b3e6-c6afb098696a,exposed,2020-07-07,6,Generic Smartphone,6,Chrome Mobile WebView,1,0
5561,b04db329-2d89-450f-825b-00216060bca8,exposed,2020-07-04,7,OnePlus ONEPLUS A5010,6,Chrome Mobile WebView,1,0
6418,cba4999f-c1ab-43e2-b1ee-4e7bb9ff5251,exposed,2020-07-09,21,Samsung SM-G960F,6,Chrome Mobile WebView,1,0
5750,b53b982f-5bf2-4b71-b04e-f97107f07e6d,exposed,2020-07-09,13,Pixel 3a,6,Chrome Mobile WebView,1,0
5809,b7b15234-78e7-4631-9c02-ba0808686c6b,exposed,2020-07-08,14,Samsung SM-G960F,6,Chrome Mobile WebView,1,0
5830,b84ee86d-aee1-4f0f-84f7-4820eba84c29,exposed,2020-07-07,1,Samsung SM-N976B,6,Chrome Mobile WebView,1,0
5872,b9d3bff1-b688-4c5a-9d62-3fad6af1e49d,control,2020-07-09,0,Samsung SM-A505FN,6,Chrome Mobile WebView,1,0
5938,bc2e2abf-50d9-4c83-898c-405f60c2924c,exposed,2020-07-10,0,Samsung SM-A202F,6,Chrome Mobile WebView,1,0
6093,c178af51-515b-403a-ac28-afa6ef929b4a,exposed,2020-07-03,8,Samsung SM-G770F,6,Chrome Mobile WebView,1,0
6049,c03a506f-92e4-41e1-8859-841d21f18349,exposed,2020-07-04,6,Samsung SM-G965F,6,Chrome Mobile WebView,1,0
6070,c0cd6b96-dfd3-4ccc-bbeb-435330a05dc2,exposed,2020-07-03,12,OnePlus ONEPLUS A6013,6,Chrome Mobile WebView,1,0
6077,c0fad09f-ccdd-45b0-a658-6e9f43739e80,exposed,2020-07-03,10,Samsung SM-G970F,6,Chrome Mobile WebView,1,0
6250,c6c8b746-4586-4144-bc2e-304bdb484b95,exposed,2020-07-07,13,Generic Smartphone,6,Chrome Mobile WebView,1,0
6416,cb900a89-a572-43e0-a342-2555ea0a58af,exposed,2020-07-07,9,Generic Smartphone,6,Chrome Mobile WebView,1,0
6431,cc079e1e-1a13-4569-adbc-7747ab65a712,exposed,2020-07-08,16,Samsung SM-G965F,6,Chrome Mobile WebView,1,0
6591,d0f0358c-3fac-4c5e-91d7-8685354423cb,exposed,2020-07-04,20,Generic Smartphone,6,Chrome Mobile WebView,1,0
6186,c479f738-e733-4ba6-abf7-961d0112febf,exposed,2020-07-09,9,Generic Smartphone,6,Chrome Mobile WebView,1,0
6711,d4cc37bf-1057-4ef7-b326-d3f921038648,exposed,2020-07-03,0,Generic Smartphone,6,Chrome Mobile WebView,1,0
6749,d6312ee2-ee20-4ee7-9641-0d10a2435acb,exposed,2020-07-08,20,Samsung SM-A505FN,6,Chrome Mobile WebView,1,0
6836,d916efd9-631e-40aa-b2ec-e6fbeb2fcb7a,exposed,2020-07-06,4,Samsung SM-G920F,6,Chrome Mobile WebView,1,0
6851,d97c5289-6836-426d-a402-6aac1fec97a9,exposed,2020-07-03,13,OnePlus ONEPLUS A3000,6,Chrome Mobile WebView,1,0
6863,d9ed55eb-70bd-4945-b19f-0b4d05169f7a,exposed,2020-07-04,7,FIG-LX1,6,Chrome Mobile WebView,1,0
6907,dbb2a996-a218-4b0d-8099-bfade97f7d05,exposed,2020-07-07,21,Pixel 3,6,Chrome Mobile WebView,1,0
6919,dc147227-498c-4d01-aa99-7511fc507bb4,exposed,2020-07-03,1,Samsung SM-A530F,6,Chrome Mobile WebView,1,0
7797,f75afe50-26e3-4350-8f09-a3a28392664c,exposed,2020-07-03,8,Samsung SM-J530F,6,Chrome Mobile WebView,1,0
7069,e0accc2a-305a-4752-8efd-88f4d24167b0,control,2020-07-08,21,EVA-L09,6,Chrome Mobile WebView,1,0
7125,e2353ca7-e537-4901-a239-7fc449a35859,exposed,2020-07-05,14,LG-$2,6,Chrome Mobile WebView,1,0
7782,f6b7f0e9-7bb1-4c46-ac29-359e872de73d,exposed,2020-07-09,17,Samsung SM-G975F,6,Chrome Mobile WebView,1,0
7237,e5cd08cc-7bbb-4a0a-a7ae-3ac6e612454e,exposed,2020-07-03,10,Samsung SM-J500FN,6,Chrome Mobile WebView,1,0
7284,e7402a4d-6105-4a2e-a41c-54f542eb4e2e,exposed,2020-07-05,19,Samsung SM-A505FN,6,Chrome Mobile WebView,1,0
7285,e742e835-021d-49b0-9f48-0b22e6ba29c0,exposed,2020-07-10,5,Samsung SM-G965F,6,Chrome Mobile WebView,1,0
7421,eab088f9-0e83-4b76-a67d-08c7d633cfb5,exposed,2020-07-06,8,Pixel 3a,6,Chrome Mobile WebView,1,0
7489,ed32baab-4fd2-4c01-8210-9b00895fb0c8,control,2020-07-03,15,Samsung SM-G965F,6,Chrome Mobile WebView,1,0
7227,e5975f20-2ec5-469a-b3e1-8a470a1773de,exposed,2020-07-09,8,Samsung SM-G970F,6,Chrome Mobile WebView,1,0
7654,f260f426-dbf1-4d15-ac85-78a2b7cf6ea7,exposed,2020-07-09,21,Generic Smartphone,6,Chrome Mobile WebView,1,0
7675,f30f03c4-5dad-470b-948c-6880abf1ba7d,control,2020-07-04,2,Samsung SM-G973F,6,Chrome Mobile WebView,1,0
7692,f3a0afa6-0f90-489f-b577-78f6e0c044d3,exposed,2020-07-07,20,Samsung SM-G970F,6,Chrome Mobile WebView,1,0
7634,f1a83cc4-2092-473f-b1e3-605b4fd9e854,exposed,2020-07-07,13,Samsung SM-A202F,6,Chrome Mobile WebView,1,0
7809,f7a54656-1e95-4cc4-92f0-da075d232b4b,exposed,2020-07-05,13,Samsung SM-G950F,6,Chrome Mobile WebView,1,0
7885,fa032637-420a-4b6a-a610-22d323341966,exposed,2020-07-05,10,Samsung SM-G950F,6,Chrome Mobile WebView,1,0
7918,faa699e5-7c95-4661-b910-2fb7920cedbb,exposed,2020-07-04,13,VOG-L29,6,Chrome Mobile WebView,1,0
8021,fdbde53d-47f9-4271-bcf3-0ed4efa140b9,exposed,2020-07-09,4,Generic Smartphone,6,Chrome Mobile WebView,1,0
99,0332792f-0de9-4902-9d08-06033c3d8371,control,2020-07-06,2,Samsung SM-J600FN,6,Chrome Mobile WebView,0,1
80,02a9eba3-58b0-4759-b3ae-68a19cb2b59e,exposed,2020-07-09,20,Moto $2,6,Chrome Mobile WebView,0,1
4830,9a00b17e-37ce-4cd4-82d6-7bc4d21cc524,exposed,2020-07-04,14,Samsung SM-J610FN,6,Chrome Mobile WebView,1,0
2,0016d14a-ae18-4a02-a204-6ba53b52f2ed,exposed,2020-07-05,2,E5823,6,Chrome Mobile WebView,0,1
46,01905bae-fc59-475e-b2b4-09b78163c961,exposed,2020-07-05,6,I3312,6,Chrome Mobile WebView,0,1
7962,fbf55f01-5e12-417e-b3e9-3efdf4148f96,exposed,2020-07-04,6,Generic Smartphone,6,Chrome Mobile WebView,1,0
223,06bb6061-5e5e-4cd7-a03b-8df818a990b5,exposed,2020-07-05,0,Generic Smartphone,6,Chrome Mobile WebView,0,1
323,09cc0f8a-88c5-4888-b6d7-f8d388acc444,exposed,2020-07-04,5,Samsung SM-G960F,6,Chrome Mobile WebView,0,1
366,0b3e05e0-b0e0-4815-9a22-3fd4552f4883,exposed,2020-07-08,21,Generic Smartphone,6,Chrome Mobile WebView,0,1
5618,b1d20e51-caa7-4a6f-b802-37c9a399e036,exposed,2020-07-03,11,Samsung SM-A505FN,6,Chrome Mobile WebView,0,1
846,1b7715c7-58bb-4958-a09a-68790685625a,control,2020-07-06,8,Samsung SM-A520F,6,Chrome Mobile WebView,0,1
728,171ef6d0-384d-4ee7-a9a6-0f46878bb87b,exposed,2020-07-05,11,Generic Smartphone,6,Chrome Mobile WebView,0,1
766,188bb5f4-f591-47ff-aaec-3756b0ce2ea5,exposed,2020-07-09,6,I3312,6,Chrome Mobile WebView,0,1
771,18c91749-afe9-4495-a39b-642f26481b1e,exposed,2020-07-10,5,Moto $2,6,Chrome Mobile WebView,0,1
1042,21e1edd7-203b-4730-93fd-021074bd5e3a,exposed,2020-07-04,16,Samsung SM-G900F,6,Chrome Mobile WebView,0,1
1007,20b57613-7e8e-4d9a-9125-3ef09e61c903,exposed,2020-07-05,22,Samsung SM-A520F,6,Chrome Mobile WebView,0,1
2400,4e740c8f-b915-4f1b-8432-b5a71186053e,exposed,2020-07-08,16,Generic Smartphone,6,Chrome Mobile WebView,0,1
945,1ecaf084-2efd-4824-a414-13204e3e418c,exposed,2020-07-08,17,Samsung SM-G955F,6,Chrome Mobile WebView,0,1
797,19b876d8-13ef-4157-b293-8744ec5a47ff,control,2020-07-07,8,Generic Smartphone,6,Chrome Mobile WebView,0,1
1754,3a0bba9e-f3de-48c8-9493-97ce9c188640,exposed,2020-07-07,20,Samsung SM-N960F,6,Chrome Mobile WebView,0,1
1186,26a031c0-d137-4ea7-813a-513831409aaa,exposed,2020-07-03,7,LYA-L09,6,Chrome Mobile WebView,0,1
1196,26e9e802-28e6-4f53-8cdd-74720e7345ce,exposed,2020-07-09,9,Generic Smartphone,6,Chrome Mobile WebView,0,1
1272,29aaa36d-ba5d-465e-bcf9-7cdfa14cd771,exposed,2020-07-08,18,Samsung SM-G950F,6,Chrome Mobile WebView,0,1
1309,2ace6da4-d39b-48c0-9d51-36ce3c52f32b,exposed,2020-07-05,4,MAR-LX1A,6,Chrome Mobile WebView,0,1
801,19c53616-7ece-4148-92b2-4e5e044685f7,control,2020-07-03,15,XiaoMi Redmi Note 7,6,Chrome Mobile WebView,0,1
1475,30465d03-242f-44c0-b024-f510654a7488,exposed,2020-07-05,16,Generic Smartphone,6,Chrome Mobile WebView,0,1
2367,4d6afa17-1d75-4102-b31b-7d38fae44b24,exposed,2020-07-09,8,Generic Smartphone,6,Chrome Mobile WebView,0,1
2172,47423a2f-ea25-4892-aa5d-8d0d3f55c701,exposed,2020-07-03,9,Generic Smartphone,6,Chrome Mobile WebView,0,1
1835,3cd724ed-f75d-4a0e-bf84-f17d9c9da14a,exposed,2020-07-08,16,Samsung SM-A105FN,6,Chrome Mobile WebView,0,1
1841,3cfa4d93-6459-42f1-963b-7d3215bf3711,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile WebView,0,1
1862,3d8f2180-0787-40a7-9566-62d16f672882,exposed,2020-07-09,4,Samsung SM-G975F,6,Chrome Mobile WebView,0,1
4374,8ba774fc-5119-4520-89d5-1a50b4414b2d,control,2020-07-03,15,Samsung SM-N950F,6,Chrome Mobile WebView,0,1
2456,4fc63d39-781c-4976-9ffb-f4e719672add,exposed,2020-07-03,10,Samsung SM-G975F,6,Chrome Mobile WebView,0,1
2427,4f071343-3271-4bac-906b-ba3cd6b9f15b,exposed,2020-07-05,7,LG-$2,6,Chrome Mobile WebView,0,1
2563,52a660e1-988f-4f0b-bc04-4e5b2ab83e0f,exposed,2020-07-09,8,MRD-LX1,6,Chrome Mobile WebView,0,1
2184,47a3ea57-c9d7-4fcc-926d-1ca81b2a9c1c,exposed,2020-07-10,3,Generic Smartphone,6,Chrome Mobile WebView,0,1
2606,540e3a27-c754-469c-8e53-ee2ee81275fb,exposed,2020-07-09,14,Nokia$2$3,6,Chrome Mobile WebView,0,1
2488,508339a8-7ce3-4af6-8915-c7ecec83fc81,exposed,2020-07-04,4,Generic Smartphone,6,Chrome Mobile WebView,0,1
2239,497650e4-6423-4762-8ac3-f0456199458b,exposed,2020-07-04,2,Generic Smartphone,6,Chrome Mobile WebView,0,1
1378,2d425dc0-4158-42b0-8689-e7c63d726930,exposed,2020-07-10,2,Nokia$2$3,6,Chrome Mobile WebView,0,1
2732,582427c7-1aa4-4ecc-95c6-d6fdb3980a4c,exposed,2020-07-07,0,Moto $2,6,Chrome Mobile WebView,0,1
2945,5ea41fda-8d34-43cd-ad39-66b51e24e274,exposed,2020-07-08,7,Samsung SM-N960F,6,Chrome Mobile WebView,0,1
3332,6ba7eb47-9806-463c-bfe8-955e4db7cf22,exposed,2020-07-09,4,Samsung SM-A202F,6,Chrome Mobile WebView,0,1
3123,6504ac2f-4b24-48e4-9afd-0fade5317ab5,control,2020-07-04,12,Generic Smartphone,6,Chrome Mobile WebView,0,1
3138,65a6216b-e820-4dba-a93a-b7faea563ed5,exposed,2020-07-07,14,Generic Smartphone,6,Chrome Mobile WebView,0,1
2819,5ae48482-f04a-41e5-9606-6e450cfdff13,control,2020-07-06,0,VTR-L09,6,Chrome Mobile WebView,0,1
4028,8155078e-5658-4177-9bc5-404127e2d1b9,exposed,2020-07-10,13,Samsung SM-A300FU,6,Chrome Mobile WebView,0,1
2620,54586d12-4604-4da9-b169-92b7f40a7dda,exposed,2020-07-04,10,Samsung SM-G900F,6,Chrome Mobile WebView,0,1
3448,6f1df2d5-1dff-4c1a-949d-2217c81a0fd6,exposed,2020-07-03,10,Samsung SM-A405FN,6,Chrome Mobile WebView,0,1
3490,70a75975-98e0-4669-8d8c-752a50d40df0,exposed,2020-07-03,9,Samsung SM-N920I,6,Chrome Mobile WebView,0,1
3808,7a93f027-c1fd-43a6-96fd-5d3cd6b57a43,exposed,2020-07-04,8,Generic Smartphone,6,Chrome Mobile WebView,0,1
1435,2ef0b547-cc9f-4604-b391-96529fdd653b,control,2020-07-10,9,Samsung SM-G950F,6,Chrome Mobile WebView,0,1
3752,78e0a3aa-a76f-4e9d-ad56-b62f1f50f96c,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile WebView,0,1
3986,8005c1a2-5c2d-4f96-b2f1-56c8780e7210,exposed,2020-07-05,7,Generic Smartphone,6,Chrome Mobile WebView,0,1
3995,8056b1e1-4321-45d4-a718-2fc6466072a7,control,2020-07-05,5,CLT-L09,6,Chrome Mobile WebView,0,1
4011,80f17cff-ca46-423c-9168-25220e4ee33b,exposed,2020-07-06,8,Samsung SM-G950F,6,Chrome Mobile WebView,0,1
4112,841b275a-7749-4182-bf5e-ef2720adee08,control,2020-07-03,15,Samsung SM-A515F,6,Chrome Mobile WebView,0,1
4129,84960ea7-0d40-49cc-b0fa-3f686018730d,exposed,2020-07-04,6,PRA-LX1,6,Chrome Mobile WebView,0,1
4102,83e357df-d8eb-4a1a-afb1-798e49aebe06,exposed,2020-07-09,11,POT-LX1,6,Chrome Mobile WebView,0,1
4735,96ee2c29-9680-4621-b14c-0c66ec0988e2,control,2020-07-10,7,Generic Smartphone,6,Chrome Mobile WebView,0,1
4767,981812f8-45ec-49ae-86a8-327fce9f3db0,exposed,2020-07-07,17,Samsung SM-A515F,6,Chrome Mobile WebView,0,1
4719,96600bbd-5ecd-48a9-ad9a-7975bdc5dafa,exposed,2020-07-08,7,Samsung SM-A405FN,6,Chrome Mobile WebView,0,1
5916,bb9521c8-aa06-41c0-97d7-ae8b68a97342,exposed,2020-07-04,6,Samsung $2,6,Chrome Mobile WebView,0,1
4648,94217fb4-06db-43b2-a9fe-504e2a284f85,exposed,2020-07-10,1,Samsung SM-A920F,6,Chrome Mobile WebView,0,1
4583,921f95bb-5fe9-432a-9c84-b022b52580e0,control,2020-07-03,15,Samsung SM-G960F,6,Chrome Mobile WebView,0,1
4601,92a0b11d-f091-49f7-9e57-e8a7b8341aef,control,2020-07-07,10,LYA-L09,6,Chrome Mobile WebView,0,1
4604,92b5d593-a8bf-49a0-9bc5-58b78fa5ae37,exposed,2020-07-08,12,Samsung SM-G610F,6,Chrome Mobile WebView,0,1
4643,9400e844-8dc2-49f1-875a-c58fbef65a37,exposed,2020-07-04,10,ANE-LX1,6,Chrome Mobile WebView,0,1
4492,8f20687c-c07f-4053-bd1e-835b8757d512,control,2020-07-09,13,Samsung SM-G986B,6,Chrome Mobile WebView,0,1
4510,8fcc1807-2048-42c8-be64-e5ce4e00f23d,exposed,2020-07-03,10,EVR-N29,6,Chrome Mobile WebView,0,1
5051,a0b79f33-d611-45bb-8683-158b404f6e5a,exposed,2020-07-07,6,Samsung SM-A505FN,6,Chrome Mobile WebView,0,1
4991,9ea96c35-6b58-477a-bcca-392be377e13b,control,2020-07-10,3,VFD 820,6,Chrome Mobile WebView,0,1
4516,8ffad13c-b42c-4495-85a5-03260330c372,exposed,2020-07-05,10,I3312,6,Chrome Mobile WebView,0,1
4775,9847066a-14da-4df1-80a1-69186d06a863,exposed,2020-07-08,19,Generic Smartphone,6,Chrome Mobile WebView,0,1
5109,a28aef14-c9e0-4056-990c-83af22f28fba,control,2020-07-03,15,Samsung SM-G960F,6,Chrome Mobile WebView,0,1
5139,a38c4a37-ebc1-46d5-af88-7812f101dbe1,control,2020-07-03,15,LG-$2,6,Chrome Mobile WebView,0,1
5164,a4432f55-9262-4595-b1b8-a64753a300c9,exposed,2020-07-07,1,Samsung SM-G960F,6,Chrome Mobile WebView,0,1
5192,a50145c5-4842-4ec7-8e0f-edd478202957,exposed,2020-07-05,7,Pixel 4,6,Chrome Mobile WebView,0,1
5705,b400a9af-b2ea-4f99-a646-18ca47678715,control,2020-07-08,14,Samsung SM-A202F,6,Chrome Mobile WebView,0,1
5550,afccd237-8910-41b0-911d-553b1caf3779,exposed,2020-07-03,3,Samsung SM-G960F,6,Chrome Mobile WebView,0,1
5525,aec7e329-9e88-431d-ba7e-053b39724712,exposed,2020-07-08,5,Pixel 2,6,Chrome Mobile WebView,0,1
5355,a9761c1b-b5ec-4bee-a8c2-2023e6b86599,control,2020-07-10,7,Samsung SM-G950F,6,Chrome Mobile WebView,0,1
5404,aacec318-4269-4002-9a0c-e48751356f35,exposed,2020-07-03,14,Samsung SM-G935F,6,Chrome Mobile WebView,0,1
6053,c05fc65f-e0f9-4b64-a292-dcc782451b60,control,2020-07-09,9,Samsung SM-A202F,6,Chrome Mobile WebView,1,0
5556,b021ba43-576a-4c85-972d-fd52351a77ef,exposed,2020-07-06,10,Samsung SM-G950F,6,Chrome Mobile WebView,0,1
